GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,Canceled,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Day,DateTime,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,ScoreID,Status,StadiumDetails
202010116,1,2020,1,2020-09-10T20:20:00,HOU,KC,NBC,-6.8,38.1,15,FALSE,,,56,56,Light Rain,56,4,230,-301,2020-09-10T00:00:00,2020-09-10T20:20:00,17263,13,16,17263,Final,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
202010102,1,2020,1,2020-09-13T13:00:00,SEA,ATL,FOX,-0.7,34.9,45,FALSE,,,75,76,Few Clouds,75,6,-75,-83,2020-09-13T00:00:00,2020-09-13T13:00:00,17264,30,2,17264,Final,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
202010103,1,2020,1,2020-09-13T13:00:00,CLE,BAL,CBS,-5.3,33.9,7,FALSE,,,73,75,Broken Clouds,73,7,197,-254,2020-09-13T00:00:00,2020-09-13T13:00:00,17272,8,3,17272,Final,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
202010104,1,2020,1,2020-09-13T13:00:00,NYJ,BUF,CBS,-4.6,28.2,1,FALSE,,,58,62,Broken Clouds,62,6,168,-210,2020-09-13T00:00:00,2020-09-13T13:00:00,17265,24,4,17265,Final,"{'StadiumID': 1, 'Name': 'Bills Stadium', 'City': 'Orchard Park', 'State': 'NY', 'Country': 'USA', 'Capacity': 73079, 'PlayingSurface': 'Artificial', 'GeoLat': 42.773758, 'GeoLong': -78.786837, 'Type': 'Outdoor'}"
202010105,1,2020,1,2020-09-13T13:00:00,LV,CAR,CBS,1.5,34.2,26,FALSE,,,72,73,Clear Sky,72,0,-113,93,2020-09-13T00:00:00,2020-09-13T13:00:00,17270,25,5,17270,Final,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 73778, 'PlayingSurface': 'Grass', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
202010111,1,2020,1,2020-09-13T13:00:00,CHI,DET,FOX,-1.8,30.3,21,FALSE,,,64,64,Clear Sky,64,9,83,-101,2020-09-13T00:00:00,2020-09-13T13:00:00,17266,6,11,17266,Final,"{'StadiumID': 21, 'Name': 'Ford Field', 'City': 'Detroit', 'State': 'MI', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Artificial', 'GeoLat': 42.340021, 'GeoLong': -83.045556, 'Type': 'Dome'}"
202010115,1,2020,1,2020-09-13T13:00:00,IND,JAX,CBS,3.8,31.7,10,FALSE,,,80,81,Light Rain,80,8,-264,204,2020-09-13T00:00:00,2020-09-13T13:00:00,17271,14,15,17271,Final,"{'StadiumID': 10, 'Name': 'TIAA Bank Field', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67246, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
202010120,1,2020,1,2020-09-13T13:00:00,GB,MIN,FOX,-1.8,31.7,42,FALSE,,,59,61,Few Clouds,61,7,80,-97,2020-09-13T00:00:00,2020-09-13T13:00:00,17267,12,20,17267,Final,"{'StadiumID': 42, 'Name': 'U.S. Bank Stadium', 'City': 'Minneapolis', 'State': 'MN', 'Country': 'USA', 'Capacity': 66655, 'PlayingSurface': 'Artificial', 'GeoLat': 44.974288, 'GeoLong': -93.258, 'Type': 'Dome'}"
202010121,1,2020,1,2020-09-13T13:00:00,MIA,NE,CBS,-5.3,29.6,4,FALSE,,,65,65,Scattered Clouds,65,7,201,-262,2020-09-13T00:00:00,2020-09-13T13:00:00,17268,19,21,17268,Final,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 68756, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
202010135,1,2020,1,2020-09-13T13:00:00,PHI,WAS,FOX,2.8,29.9,19,FALSE,,,71,71,Light Rain,71,5,-180,148,2020-09-13T00:00:00,2020-09-13T13:00:00,17269,26,35,17269,Final,"{'StadiumID': 19, 'Name': 'FedEx Field', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 85000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
202010107,1,2020,1,2020-09-13T16:05:00,LAC,CIN,CBS,1.3,29.2,5,FALSE,,,64,66,Scattered Clouds,66,7,-102,84,2020-09-13T00:00:00,2020-09-13T16:05:00,17273,29,7,17273,Final,"{'StadiumID': 5, 'Name': 'Paul Brown Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65535, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
202010122,1,2020,1,2020-09-13T16:25:00,TB,NO,FOX,-3.2,34.2,27,FALSE,,,81,82,Few Clouds,82,13,111,-135,2020-09-13T00:00:00,2020-09-13T16:25:00,17274,33,22,17274,Final,"{'StadiumID': 27, 'Name': 'Mercedes-Benz Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
202010131,1,2020,1,2020-09-13T16:25:00,ARI,SF,FOX,-4.6,34.2,37,FALSE,,,61,62,Scattered Clouds,62,2,175,-222,2020-09-13T00:00:00,2020-09-13T16:25:00,17275,1,31,17275,Final,"{'StadiumID': 37, 'Name': ""Levi's Stadium"", 'City': 'Santa Clara', 'State': 'CA', 'Country': 'USA', 'Capacity': 68500, 'PlayingSurface': 'Grass', 'GeoLat': 37.403, 'GeoLong': -121.970274, 'Type': 'Outdoor'}"
202010132,1,2020,1,2020-09-13T20:20:00,DAL,LAR,NBC,-0.7,37.1,54,FALSE,,,64,70,Few Clouds,64,3,-78,-80,2020-09-13T00:00:00,2020-09-13T20:20:00,17276,9,32,17276,Final,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
202010123,1,2020,1,2020-09-14T19:10:00,PIT,NYG,ESPN,3.1,31.4,3,FALSE,,,59,60,Clear Sky,60,14,-187,150,2020-09-14T00:00:00,2020-09-14T19:10:00,17277,28,23,17277,Final,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
